charger_id,name,lat,lon,city,state,operator,source
479421,Electric Vehicle Charging Station,21.8057616,85.9951672,Unknown,Odisha,Unknown,OpenChargeMap
479420,Ather Grid Charging Station,21.852719999999998,83.99909,Unknown,Odisha,Unknown,OpenChargeMap
479419,Tata Power Charging Station,21.86703,83.966208,Unknown,Odisha,Unknown,OpenChargeMap
479418,Ather Grid Charging Station,21.917408,83.38266,Unknown,Odisha,Unknown,OpenChargeMap
479417,Tata Power Charging Station,21.920673999999998,83.37071399999999,Unknown,Odisha,Unknown,OpenChargeMap
479416,BPCL Charging Station,21.872868999999998,83.38834899999999,Unknown,Odisha,Unknown,OpenChargeMap
479415,Ankush Vehicles,21.8485001,82.7791088,Unknown,Odisha,Unknown,OpenChargeMap
479414,CharjKaro Charging Station,21.8069144,82.75252929999999,Unknown,Odisha,Unknown,OpenChargeMap
479413,BPCL Charging Station,21.864104299999997,82.4621088,Unknown,Odisha,Unknown,OpenChargeMap
479412,Electric Vehicle Charging Station,21.8833782,82.1504942,Unknown,Odisha,Unknown,OpenChargeMap
479411,BPCL Charging Station,21.734158,81.535732,Unknown,Odisha,Unknown,OpenChargeMap
479410,Jio-bp pulse Charging Station,21.592751,87.02058799999999,Unknown,Odisha,Unknown,OpenChargeMap
479409,Jio-bp pulse Charging Station,21.5926108,87.0205579,Unknown,Odisha,Unknown,OpenChargeMap
479408,Electric Vehicle Charging Station,21.593016600000002,87.02072849999999,Unknown,Odisha,Unknown,OpenChargeMap
479407,Ather Grid Charging Station,21.481623,86.9069,Unknown,Odisha,Unknown,OpenChargeMap
479406,Ather Charging Station,21.49872,86.93108,Unknown,Odisha,Unknown,OpenChargeMap
479405,Electric Vehicle Charging Station,21.5746535,87.09849589999999,Unknown,Odisha,Unknown,OpenChargeMap
479404,Tata Power Charging Station,21.479922,86.904904,Unknown,Odisha,Unknown,OpenChargeMap
479403,Ather Charging Station,21.5064591,86.911091,Unknown,Odisha,Unknown,OpenChargeMap
479402,Tata Power Charging Station,21.4978274,86.8896469,Unknown,Odisha,Unknown,OpenChargeMap
479401,Tata Power Charging Station,21.548809,85.494006,Unknown,Odisha,Unknown,OpenChargeMap
479400,Ather Grid Charging Station,21.6324613,85.5907884,Unknown,Odisha,Unknown,OpenChargeMap
479399,Electric Vehicle Charging Station,21.5490869,85.49427089999999,Unknown,Odisha,Unknown,OpenChargeMap
479398,Ather Charging Station,21.651429999999998,85.59394999999999,Unknown,Odisha,Unknown,OpenChargeMap
479397,Ather Grid Charging Station,21.491887,83.9860082,Unknown,Odisha,Unknown,OpenChargeMap
479396,Ather Grid Charging Station,21.467634,83.97726399999999,Unknown,Odisha,Unknown,OpenChargeMap
479395,Tata Power Charging Station,21.5106163,84.00592019999999,Unknown,Odisha,Unknown,OpenChargeMap
479394,Ather Charging Station,21.49525,83.97572,Unknown,Odisha,Unknown,OpenChargeMap
479393,Tata Power Charging Station,21.501024899999997,83.89131309999999,Unknown,Odisha,Unknown,OpenChargeMap
479392,BPCL Charging Station,21.494135,83.98228999999999,Unknown,Odisha,Unknown,OpenChargeMap
479391,Jio-bp,21.6326653,82.15920369999999,Unknown,Odisha,Unknown,OpenChargeMap
479390,Jio-bp,21.550269999999998,81.94745999999999,Unknown,Odisha,Unknown,OpenChargeMap
479389,Ather Grid Charging Station,21.51608,81.69389,Unknown,Odisha,Unknown,OpenChargeMap
479388,PRATIK E RICKSHAW,21.7025644,81.5427175,Unknown,Odisha,Unknown,OpenChargeMap
479387,Ather Grid Charging Station,21.697687,81.54614,Unknown,Odisha,Unknown,OpenChargeMap
479386,Tata Power Charging Station,21.63401,81.62389,Unknown,Odisha,Unknown,OpenChargeMap
479385,BPCL Charging Station,21.5166085,81.69392789999999,Unknown,Odisha,Unknown,OpenChargeMap
479384,Jio-bp pulse Charging Station,21.317263999999998,86.725105,Unknown,Odisha,Unknown,OpenChargeMap
479383,Electric Vehicle Charging Station,21.2845369,86.67497949999999,Unknown,Odisha,Unknown,OpenChargeMap
479382,BPCL Charging Station,21.3825286,86.79633,Unknown,Odisha,Unknown,OpenChargeMap
479381,BPCL Charging Station,21.358081,86.78445099999999,Unknown,Odisha,Unknown,OpenChargeMap
479380,Electric Vehicle Charging Station,21.2216615,86.1190697,Unknown,Odisha,Unknown,OpenChargeMap
479379,Ather Grid Charging Station,21.200249,86.12389,Unknown,Odisha,Unknown,OpenChargeMap
479378,BPCL Charging Station,21.3652959,83.7440391,Unknown,Odisha,Unknown,OpenChargeMap
479377,BPCL Charging Station,21.314256999999998,83.45897819999999,Unknown,Odisha,Unknown,OpenChargeMap
479376,BPCL Charging Station,21.312703799999998,83.3128902,Unknown,Odisha,Unknown,OpenChargeMap
479375,BPCL Charging Station,21.314738,83.30917099999999,Unknown,Odisha,Unknown,OpenChargeMap
479374,Adani Charging Station,21.296246,82.921301,Unknown,Odisha,Unknown,OpenChargeMap
479373,Ather Grid Charging Station,21.323919999999998,81.7012,Unknown,Odisha,Unknown,OpenChargeMap
479372,Electric Vehicle Charging Station,21.202065599999997,81.9192961,Unknown,Odisha,Unknown,OpenChargeMap
479371,BPCL Charging Station,21.205784500000004,81.872112,Unknown,Odisha,Unknown,OpenChargeMap
479370,Jio-bp,21.302802699999997,81.7368091,Unknown,Odisha,Unknown,OpenChargeMap
479369,Electric Vehicle Charging Station,21.2182526,81.6301313,Unknown,Odisha,Unknown,OpenChargeMap
479368,NIKOL EV Charging Station,21.3173134,81.63971839999999,Unknown,Odisha,Unknown,OpenChargeMap
479367,Tata Power Charging Station,21.2377887,81.6896835,Unknown,Odisha,Unknown,OpenChargeMap
479366,BPCL Charging Station,21.2495941,81.523425,Unknown,Odisha,Unknown,OpenChargeMap
479365,Jio-bp,21.341343,81.429919,Unknown,Odisha,Unknown,OpenChargeMap
479364,BPCL Charging Station,21.364805999999998,81.66376439999999,Unknown,Odisha,Unknown,OpenChargeMap
479363,Ather Grid Charging Station,21.2416455,81.4959004,Unknown,Odisha,Unknown,OpenChargeMap
479362,BPCL Charging Station,21.335393999999997,81.62172699999999,Unknown,Odisha,Unknown,OpenChargeMap
479361,Tata Power Charging Station,21.2404095,81.6577801,Unknown,Odisha,Unknown,OpenChargeMap
479360,Ather Grid Charging Station,21.2444126,81.607608,Unknown,Odisha,Unknown,OpenChargeMap
479359,BPCL Charging Station,21.315832999999998,81.639605,Unknown,Odisha,Unknown,OpenChargeMap
479358,Laxmi E Bike Solution,21.2346227,81.6644444,Unknown,Odisha,Unknown,OpenChargeMap
479357,Ather Grid Charging Station,21.2404001,81.6029695,Unknown,Odisha,Unknown,OpenChargeMap
479356,BPCL Charging Station,21.24332,81.579622,Unknown,Odisha,Unknown,OpenChargeMap
479355,Electric Vehicle Charging Station,21.2350671,81.6309002,Unknown,Odisha,Unknown,OpenChargeMap
479354,Ather Charging Station,21.244000399999997,81.6347188,Unknown,Odisha,Unknown,OpenChargeMap
479353,Ather Charging Station,21.225600999999997,81.6560523,Unknown,Odisha,Unknown,OpenChargeMap
479352,Tata Power Charging Station,21.255368300000004,81.62945309999999,Unknown,Odisha,Unknown,OpenChargeMap
479351,Ather Grid Charging Station,21.2402071,81.6843083,Unknown,Odisha,Unknown,OpenChargeMap
479350,Ola Charging Station,21.2395532,81.67767140000001,Unknown,Odisha,Unknown,OpenChargeMap
479349,Bolt.Earth,21.0984032,86.52668419999999,Unknown,Odisha,Unknown,OpenChargeMap
479348,Ather Grid Charging Station,21.071771,86.49831999999999,Unknown,Odisha,Unknown,OpenChargeMap
479347,Jio-bp pulse Charging Station,21.070288100000003,86.4970845,Unknown,Odisha,Unknown,OpenChargeMap
479346,Jio-bp pulse Charging Station,20.9758779,86.4012231,Unknown,Odisha,Unknown,OpenChargeMap
